artist_1,artist_2,count,song_id
Felix Snow,Kiiara,1,3QWjljChcOMkRDYSzF33Qr
A Boogie Wit da Hoodie,Chris Brown,1,5gx2E5aIXMRBellPZW1up5
A Boogie Wit da Hoodie,Kodak Black,1,5gx2E5aIXMRBellPZW1up5
A Boogie Wit da Hoodie,Yo Gotti,1,5gx2E5aIXMRBellPZW1up5
Chris Brown,Kodak Black,1,5gx2E5aIXMRBellPZW1up5
Chris Brown,Yo Gotti,1,5gx2E5aIXMRBellPZW1up5
Kodak Black,Yo Gotti,1,5gx2E5aIXMRBellPZW1up5
Coldplay,Seeb,1,1OAiWI2oPmglaOiv9fdioU
21 Savage,Metro Boomin,1,5u6vkDnOyaf8LsteDAj2ub
21 Savage,Offset,1,5u6vkDnOyaf8LsteDAj2ub
21 Savage,Travis Scott,1,5u6vkDnOyaf8LsteDAj2ub
Metro Boomin,Travis Scott,1,5u6vkDnOyaf8LsteDAj2ub
Offset,Travis Scott,1,5u6vkDnOyaf8LsteDAj2ub
Liam Payne,Zedd,1,1CKd1PnqfYx0H12V9MSaIY
Drake,PARTYNEXTDOOR,1,5JUu0unA8VwhTZ9LkMWUVI
CamelPhat,Elderbrook,1,1HrMWH5GUdK6Yi94rbANJA
Gorillaz,Popcaan,1,7l9CE3wmEGOUYw1j4ETjnL
Jillian Edwards,Thomas Gold,1,5abwHwUhywLGNli5NDcEN7
Kyla,Naughty Boy,1,4aiLpwwZw5Ek9KkBMnt6Zu
Kyla,Popcaan,1,4aiLpwwZw5Ek9KkBMnt6Zu
Naughty Boy,Popcaan,1,4aiLpwwZw5Ek9KkBMnt6Zu
Labrinth,Noah Cyrus,1,2BrzlUj1u1CtvaJDGIKpsP
Bebe Rexha,Machine Gun Kelly,1,0OI7AFifLSoGzpb8bdBLLV
Bebe Rexha,X Ambassadors,1,0OI7AFifLSoGzpb8bdBLLV
Machine Gun Kelly,X Ambassadors,1,0OI7AFifLSoGzpb8bdBLLV
Ina Wroldsen,Martin Solveig,1,6O85MfGECKBqAK2MgSbCaj
Drake,Kanye West,1,28irpKCCK9nn9DZSik2zEx
Madelyn Grant,ODESZA,1,7avUYFehb1GscgCncPdBDK
Bing Crosby,John Scott Trotter & His Orchestra,1,4so0Wek9Ig1p6CRCHuINwW
Bing Crosby,Ken Darby Singers,1,4so0Wek9Ig1p6CRCHuINwW
John Scott Trotter & His Orchestra,Ken Darby Singers,1,4so0Wek9Ig1p6CRCHuINwW
Andrelli,Hearts & Colors,1,04CttTezSnv71USiiG9mIo
Alicia Keys,Eminem,1,2rozzUGTRWqhTa2NzJAl8I
Coldplay,The Chainsmokers,1,6RUKPb4LETWmmr3iAEQktW
21 Savage,Cardi B,1,75FDPwaULRdYDn4StFN2rT
Liam Payne,Quavo,1,6EpRaXYhGOB3fj4V2uDkMJ
Bipolar Sunshine,DJ Snake,1,4OZEu0Vwq0RB2LAq14v99n
Gucci Mane,Selena Gomez,1,0XLOf9LhyazPX9Ld8jPiUq
Illy,Vera Blue,1,6vXHaWpqkbuvzIDvR3LnKd
